id,trial,type,background,valence,result,probability,sp
85,1,2,1,1,1,1,0.16
85,2,2,1,1,1,2,0.77
85,3,2,1,1,2,1,0.98
85,4,2,1,1,2,2,0.25
85,5,2,1,2,1,1,0.98
85,6,2,1,2,1,2,0.29
85,7,2,1,2,2,1,0.05
85,8,2,1,2,2,2,0.93
86,1,2,1,1,1,1,0.23
86,2,2,1,1,1,2,0.83
86,3,2,1,1,2,1,1
86,4,2,1,1,2,2,0.22
86,5,2,1,2,1,1,1
86,6,2,1,2,1,2,0.93
86,7,2,1,2,2,1,0.69
86,8,2,1,2,2,2,0.86
87,1,2,1,1,1,1,0
87,2,2,1,1,1,2,0.08
87,3,2,1,1,2,1,1
87,4,2,1,1,2,2,1
87,5,2,1,2,1,1,0.97
87,6,2,1,2,1,2,1
87,7,2,1,2,2,1,0
87,8,2,1,2,2,2,0.06
88,1,2,1,1,1,1,0.04
88,2,2,1,1,1,2,1
88,3,2,1,1,2,1,0.98
88,4,2,1,1,2,2,0
88,5,2,1,2,1,1,1
88,6,2,1,2,1,2,0
88,7,2,1,2,2,1,0
88,8,2,1,2,2,2,0.93
89,1,2,1,1,1,1,0.5
89,2,2,1,1,1,2,0.53
89,3,2,1,1,2,1,0.96
89,4,2,1,1,2,2,0.88
89,5,2,1,2,1,1,0.79
89,6,2,1,2,1,2,0.57
89,7,2,1,2,2,1,0.61
89,8,2,1,2,2,2,0.74
90,1,2,1,1,1,1,0.37
90,2,2,1,1,1,2,0.93
90,3,2,1,1,2,1,0.96
90,4,2,1,1,2,2,0.25
90,5,2,1,2,1,1,1
90,6,2,1,2,1,2,0.5
90,7,2,1,2,2,1,0.5
90,8,2,1,2,2,2,0.79
91,1,2,1,1,1,1,0.53
91,2,2,1,1,1,2,0.7
91,3,2,1,1,2,1,0.33
91,4,2,1,1,2,2,0.44
91,5,2,1,2,1,1,0.51
91,6,2,1,2,1,2,0.62
91,7,2,1,2,2,1,0.63
91,8,2,1,2,2,2,0.36
92,1,2,1,1,1,1,0.46
92,2,2,1,1,1,2,0.62
92,3,2,1,1,2,1,0.98
92,4,2,1,1,2,2,0.93
92,5,2,1,2,1,1,0.98
92,6,2,1,2,1,2,0.87
92,7,2,1,2,2,1,0.33
92,8,2,1,2,2,2,0.57
93,1,2,1,1,1,1,0.46
93,2,2,1,1,1,2,1
93,3,2,1,1,2,1,1
93,4,2,1,1,2,2,0.33
93,5,2,1,2,1,1,1
93,6,2,1,2,1,2,0.29
93,7,2,1,2,2,1,0.58
93,8,2,1,2,2,2,0.94
94,1,2,1,1,1,1,0
94,2,2,1,1,1,2,0.94
94,3,2,1,1,2,1,1
94,4,2,1,1,2,2,0
94,5,2,1,2,1,1,0.98
94,6,2,1,2,1,2,0
94,7,2,1,2,2,1,0.07
94,8,2,1,2,2,2,1
95,1,2,1,1,1,1,0
95,2,2,1,1,1,2,0.91
95,3,2,1,1,2,1,1
95,4,2,1,1,2,2,0
95,5,2,1,2,1,1,0.98
95,6,2,1,2,1,2,0
95,7,2,1,2,2,1,0
95,8,2,1,2,2,2,1
96,1,2,1,1,1,1,0.07
96,2,2,1,1,1,2,1
96,3,2,1,1,2,1,0.94
96,4,2,1,1,2,2,0
96,5,2,1,2,1,1,0.98
96,6,2,1,2,1,2,0
96,7,2,1,2,2,1,0.03
96,8,2,1,2,2,2,1
97,1,2,1,1,1,1,0.54
97,2,2,1,1,1,2,0.5
97,3,2,1,1,2,1,0.84
97,4,2,1,1,2,2,0.43
97,5,2,1,2,1,1,0.88
97,6,2,1,2,1,2,0.65
97,7,2,1,2,2,1,0.65
97,8,2,1,2,2,2,0.89
98,1,2,1,1,1,1,0.58
98,2,2,1,1,1,2,0.67
98,3,2,1,1,2,1,0.88
98,4,2,1,1,2,2,0.78
98,5,2,1,2,1,1,0.9
98,6,2,1,2,1,2,0.83
98,7,2,1,2,2,1,0.73
98,8,2,1,2,2,2,0.9
99,1,2,1,1,1,1,0.13
99,2,2,1,1,1,2,0.9
99,3,2,1,1,2,1,0.98
99,4,2,1,1,2,2,0
99,5,2,1,2,1,1,0.98
99,6,2,1,2,1,2,0.36
99,7,2,1,2,2,1,0
99,8,2,1,2,2,2,0.92
100,1,2,1,1,1,1,0
100,2,2,1,1,1,2,1
100,3,2,1,1,2,1,1
100,4,2,1,1,2,2,0.07
100,5,2,1,2,1,1,0.98
100,6,2,1,2,1,2,0.11
100,7,2,1,2,2,1,0
100,8,2,1,2,2,2,0.94
101,1,2,1,1,1,1,0.1
101,2,2,1,1,1,2,0.92
